longitude,latitude,depth,dist_to_land,avg_wave_height,ncf,lcoe,substructure,capacity,fixed_bottom,net_value,avg_wind_speed,score
-79.2367,29.0157,799.40,140.67,1.52,0.38,159,Semi,0.33,False,-114.0,7.25,-43.32
-79.1279,28.9986,799.15,148.6,1.54,0.38,161,Semi,0.33,False,-117.0,7.25,-44.46
-79.0192,28.9813,805.74,154.42,1.54,0.38,162,Semi,0.33,False,-117.0,7.25,-44.46
-78.9105,28.964,822.71,159.12,1.54,0.38,162,Semi,0.33,False,-118.0,7.25,-44.84
-78.8018,28.9465,841.77,163.82,1.54,0.38,163,Semi,0.33,False,-119.0,7.25,-45.22
-78.6932,28.9289,860.93,168.51,1.58,0.37,165,Semi,0.33,False,-121.0,7.25,-44.769999999999996
-78.5847,28.9112,880.10,173.19,1.58,0.37,166,Semi,0.33,False,-122.0,7.25,-45.14
-78.4761,28.8934,899.27,178.19,1.58,0.37,167,Semi,0.33,False,-123.0,7.25,-45.51
-78.3677,28.8755,918.20,184.16,1.58,0.37,168,Semi,0.33,False,-124.0,7.25,-45.88
-78.2592,28.8575,936.57,190.2,1.6,0.37,169,Semi,0.33,False,-125.0,7.25,-46.25
-78.1509,28.8393,957.17,196.69,1.62,0.37,171,Semi,0.33,False,-126.0,7.25,-46.62
-78.0425,28.8211,982.69,203.76,1.62,0.37,172,Semi,0.33,False,-128.0,7.25,-47.36
-80.636,29.3252,28.18,31.79,1.22,0.36,135,Jacket,0.28,True,-91.0,6.75,-32.76
-80.5277,29.3088,29.79,39.94,1.22,0.36,135,Jacket,0.28,True,-91.0,7.25,-32.76
-80.4182,29.293,31.59,49.66,1.21,0.37,135,Jacket,0.28,True,-91.0,7.25,-33.67
-80.3088,29.277,43.83,59.39,1.16,0.38,132,Semi,0.28,False,-88.0,7.25,-33.44
-80.1995,29.261,78.07,68.98,1.41,0.38,136,Semi,0.28,False,-91.0,7.25,-34.58
-80.0902,29.2448,211.16,78.48,1.42,0.39,137,Semi,0.28,False,-93.0,7.25,-36.27
-79.9809,29.2286,424.62,87.98,1.42,0.39,141,Semi,0.33,False,-97.0,7.25,-37.83
-79.8717,29.2122,625.75,97.45,1.41,0.38,148,Semi,0.33,False,-103.0,7.25,-39.14
-79.7625,29.1957,725.01,106.9,1.44,0.38,152,Semi,0.33,False,-107.0,7.25,-40.660000000000004
-79.6534,29.1791,756.99,116.1,1.49,0.38,153,Semi,0.33,False,-109.0,7.25,-41.42
-79.5443,29.1624,782.56,124.45,1.49,0.38,155,Semi,0.33,False,-111.0,7.25,-42.18
-79.4353,29.1455,798.07,132.72,1.49,0.38,156,Semi,0.33,False,-112.0,7.25,-42.56
-79.3263,29.1286,800.00,140.7,1.49,0.38,157,Semi,0.33,False,-112.0,7.25,-42.56
-79.2173,29.1116,800.00,148.28,1.53,0.39,157,Semi,0.33,False,-113.0,7.25,-44.07
